Date;Open;High;Low;Close;Adj Close;Volume;MM200;Mayer;Variation;Gain;Loss;Simple RS;Classic RS;Simple RSI;Classic RSI
2015-09-02;34.0;34.0;34.0;34.0;19.570083618164062;0;17.41640110492706;1.1236582977310812;0.0;0.0;0.0;;24.060564318726367;;96.00966687229483
2015-09-03;34.0;34.0;34.0;34.0;19.570083618164062;0;17.437226853370667;1.1223162824415;0.0;0.0;0.0;;24.060564318726367;;96.00966687229483
2015-09-04;34.0;34.0;34.0;34.0;19.570083618164062;0;17.45805260181427;1.1209774689377616;0.0;0.0;0.0;;24.060564318726367;;96.00966687229483
2015-09-08;32.0;32.0;32.0;32.0;18.418901443481445;300;17.47312243938446;1.0541276470406455;-1.1511821746826172;0.0;-1.1511821746826172;0.0;0.0033658016407220573;0.0;0.335451102202029
2015-09-09;32.0;32.0;32.0;32.0;18.418901443481445;0;17.48819227695465;1.0532192894375512;0.0;0.0;0.0;0.0;0.0033658016407220577;0.0;0.335451102202029
2015-09-10;32.0;32.0;32.0;32.0;18.418901443481445;0;17.502089157104493;1.0523830200010607;0.0;0.0;0.0;0.0;0.0033658016407220573;0.0;0.335451102202029
2015-09-11;32.0;32.0;32.0;32.0;18.418901443481445;0;17.515986037254333;1.0515480775279635;0.0;0.0;0.0;0.0;0.0033658016407220573;0.0;0.335451102202029
2015-09-14;32.0;32.0;32.0;32.0;18.418901443481445;0;17.529882917404176;1.0507144588623936;0.0;0.0;0.0;0.0;0.0033658016407220573;0.0;0.335451102202029
2015-09-15;32.0;32.0;32.0;32.0;18.418901443481445;0;17.543779797554016;1.049882160858485;0.0;0.0;0.0;0.0;0.0033658016407220573;0.0;0.335451102202029
2015-09-16;32.0;32.0;32.0;32.0;18.418901443481445;0;17.557676677703856;1.0490511803803313;0.0;0.0;0.0;0.0;0.0033658016407220577;0.0;0.335451102202029
2015-09-17;32.0;32.0;32.0;32.0;18.418901443481445;0;17.5715735578537;1.0482215143019464;0.0;0.0;0.0;0.0;0.0033658016407220577;0.0;0.335451102202029
2015-09-18;32.0;32.0;32.0;32.0;18.418901443481445;0;17.58547043800354;1.0473931595072257;0.0;0.0;0.0;0.0;0.0033658016407220577;0.0;0.335451102202029
2015-09-21;32.0;32.0;32.0;32.0;18.418901443481445;0;17.59936731815338;1.0465661128899066;0.0;0.0;0.0;0.0;0.0033658016407220577;0.0;0.335451102202029
2015-09-22;32.0;32.0;32.0;32.0;18.418901443481445;0;17.613264198303224;1.0457403713535298;0.0;0.0;0.0;0.0;0.0033658016407220577;0.0;0.335451102202029
2015-09-23;32.0;32.0;32.0;32.0;18.418901443481445;0;17.627161078453064;1.0449159318114012;0.0;0.0;0.0;0.0;0.0033658016407220577;0.0;0.335451102202029
